2019.01.22-08:23:57 <192.168.250.51>: <27>Jan 22 08:25:21 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-08:45:39 <192.168.250.51>: <27>Jan 22 08:47:04 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-08:45:39 <192.168.250.51>: <27>Jan 22 08:47:04 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-08:45:39 <192.168.250.51>: <27>Jan 22 08:47:04 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-08:45:52 <192.168.250.51>: <27>Jan 22 08:47:16 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-08:45:52 <192.168.250.51>: <27>Jan 22 08:47:16 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-08:45:52 <192.168.250.51>: <27>Jan 22 08:47:16 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-08:45:53 <192.168.250.51>: <27>Jan 22 08:47:17 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-09:06:23 <192.168.250.51>: <27>Jan 22 09:07:47 kmd[1256]: IKE Phase-2 Failure: IKE Phase-2 negotiation retry limit reached [spi=3ffed228, src_ip=176.215.198.1, dst_ip=109.195.209.171]
2019.01.22-09:08:58 <192.168.250.51>: <27>Jan 22 09:10:22 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-09:08:58 <192.168.250.51>: <27>Jan 22 09:10:22 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-09:08:58 <192.168.250.51>: <27>Jan 22 09:10:22 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-09:09:10 <192.168.250.51>: <27>Jan 22 09:10:34 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-09:09:10 <192.168.250.51>: <27>Jan 22 09:10:34 kmd[1256]: IKE Phase-1 Failure: Main mode - no proposal chosen [spi=3ffed090, src_ip=176.215.198.1, dst_ip=94.137.30.243]
2019.01.22-09:09:10 <192.168.250.51>: <27>Jan 22 09:10:34 kmd[1256]: IKE Phase-1 Failure: Invalid exchange type for the first packet [spi=3ffed128, src_ip=176.215.198.1, dst_ip=94.137.30.243]
